Level5Tips5,Text,, Pull the wooden floor to the left,شد الأرضية الخشبية على الشمال,"Empurre o piso de madeira para a esquerda (ou ""Tire o piso de madeira para a esquerda"")",Tira el suelo de madera hacia la izquierda.,,,,,,,,,,,,,,,,
Level5Tips6,Text,,Pull the blanket over the girl,اسحب البطنية على البنت,Cobre a garota com a cobertura,Atira la manta sobre la chica.,,,,,,,,,,,,,,,,
Level6Tips0,Text,,Drag all fruit peels and paper trash into the trash bin.,اسحب كل قشور الفاكهة والورق الزبالة في سلة القمامة.,Arraste todas as cascas de fruta e lixo de papel para o lixo,Arrastra todas las cáscaras de fruta y la basura de papel a la papelera.,,,,,,,,,,,,,,,,
Level6Tips1,Text,,Hide the mask under the pillow.,اخفي القناع تحت المخدة.,Esconda a máscara debaixo do travesseiro,Esconde la mascarilla debajo de la almohada.,,,,,,,,,,,,,,,,
Level6Tips10,Text,,"Drag the cards into the toilet, then press the flush button to wash the cards away.",اسحب البطاقات للحمام، بعدين اضغط على زر السيفون عشان تشطف البطاقات.,"Arraste os cartões para o banheiro, depois pressione o botão de descarga para lavar os cartões","Arrastra las cartas al inodoro, luego presiona el botón de descarga para lavar las cartas.",,,,,,,,,,,,,,,,
Level6Tips11,Text,,Click on the blanket on the bed to fold it.,اضغط على البطانية على السرير عشان تطويها.,Clique na cobertura da cama para dobrá-la,Haz clic en la manta de la cama para doblarla.,,,,,,,,,,,,,,,,
Level6Tips2,Text,,Take the towel hanging on the wall to wipe the shoe marks.,خد المنشفة اللي معلقه على الحيطة عشان تمسح بها آثار الحذاء.,Pegue a toalha pendurada na parede para limpar as marcas de sapatos,Toma la toalla colgada en la pared para limpiar las huellas de zapatos.,,,,,,,,,,,,,,,,
Level6Tips3,Text,,Take the towel hanging on the wall to clean the stain on the bed.,خذ المنشفة المعلقة على الحائط عشان تنظف البقعة على السرير.,Pegue a toalha pendurada na parede para limpar a mancha na cama.,Toma la toalla colgada en la pared para limpiar la mancha de la cama.,,,,,,,,,,,,,,,,
Level6Tips4,Text,, Drag the black shoes for the man to wear.,اسحب الأحذية السوداء عشان الراجل يلبسها.,Arraste os sapatos pretos para o homem calçar.,Arrastra los zapatos negros para que el hombre se los ponga.,,,,,,,,,,,,,,,,
Level6Tips5,Text,,Drag the jacket for the man to put on.,اسحب الجاكت عشان الراجل يلبسه.,Arraste a jaqueta para o homem colocar.,Arrastra la chaqueta para que el hombre se la ponga.,,,,,,,,,,,,,,,,
Level6Tips6,Text,,Drag the fan for the man to hold.,إسحب المروحة عشان الراجل يمسكها.,Arraste o ventilador para o homem segurar.,Arrastra el abanico para que el hombre lo sujete.,,,,,,,,,,,,,,,,
Level6Tips7,Text,, Drag the pink shoes for the woman to wear.,اسحب الأحذية الوردية عشان الست تلبسها.,Arraste os sapatos rosa para a mulher calçar.,Arrastra los zapatos rosados para que la mujer se los ponga.,,,,,,,,,,,,,,,,
Level6Tips8,Text,,"Drag the screen to the right, fold the door, and drag the jacket onto the woman.",اسحب الشاشة لليمين، اطوي الباب، واسحب الجاكت على الست.,"Arraste a tela para a direita, doble a porta e arraste a jaqueta para a mulher.","Arrastra la pantalla hacia la derecha, dobla la puerta y arrastra la chaqueta sobre la mujer.",,,,,,,,,,,,,,,,
Level6Tips9,Text,,"After completing all the above steps, open the window and throw the man out.",بعد ما تكمل كل الخطوات اللي فوق دي، افتح الشباك وارمي الراجل بره.,"Após completar todos os passos acima, abra a janela e jogue o homem para fora.","Después de completar todos los pasos anteriores, abre la ventana y echa al hombre afuera.",,,,,,,,,,,,,,,,
Level7Tips0,Text,,Touch the sink faucet,لمس حنفية الحوض,Toque no torneira do pia,Toca el grifo del lavabo.,,,,,,,,,,,,,,,,
Level7Tips1,Text,,Open the fridge,افتح التلاجة,Abra a geladeira,Abre la nevera.,,,,,,,,,,,,,,,,
Level7Tips2,Text,,Lift the tablecloth,ارفع مفرش الطاولة,"Levante o guardanapo de mesa (ou ""Toalha de mesa"")",Levanta el mantel de la mesa.,,,,,,,,,,,,,,,,
Level7Tips3,Text,,Pick up the plate of food,شد الطبق اللي فيه الأكل,Pegue o prato de comida,Recoge el plato de comida.,,,,,,,,,,,,,,,,
Level7Tips4,Text,,Open the cabinet under the sink,افتح الدولاب اللي تحت الحوض,"Abra a gaveta embaixo do pia (ou ""Armário embaixo do pia"")",Abre el gabinete debajo del lavabo.,,,,,,,,,,,,,,,,
Level7Tips5,Text,,Open the window and then close it,افتح الشباك وبعدين اقفله,Abra a janela e depois feche-a,Abre la ventana y luego cierrala.,,,,,,,,,,,,,,,,
Level7Tips6,Text,,Open the microwave,افتح الميكروويف,Abra o micro-ondas,Abre el microondas.,,,,,,,,,,,,,,,,
Level7Tips7,Text,,Lift the glass of water,ارفع كوبا من الميه.,Levante o copo de água,Levanta el vaso de agua.,,,,,,,,,,,,,,,,
Level7Tips8,Text,,Spill the basket of vegetables,افرغ سلة الخضار,Derrame o cesto de vegetais,Vierte la cesta de verduras.,,,,,,,,,,,,,,,,
Level7Tips9,Text,,Lift the potted plant,ارفع النبات اللي في الجازة.,Levante a planta em vaso,Levanta la planta en maceta.,,,,,,,,,,,,,,,,
Level8Tips0,Text,,Prescription glasses,نظارات طبية,Oculos de grau,Lentes de prescribed,,,,,,,,,,,,,,,,
Level8Tips1,Text,,Footprint,أثر قدم,"Huella d'pie (ou ""Marcas de pés"")",Huella dactilar,,,,,,,,,,,,,,,,
Level8Tips2,Text,,Blurred license plate,لوحة ترخيص مش واضحة,Placa de carro borrada,Placa de licencia borrosa,,,,,,,,,,,,,,,,
Level8Tips3,Text,,Tied hands,أيد مربوطة,Mãos amarradas,Manos atadas,,,,,,,,,,,,,,,,
Level8Tips4,Text,,Blood-stained knife,سكينة ملطخة بالدم,Faca manchada de sangue,Cuchillo manchado de sangre,,,,,,,,,,,,,,,,
Level8Tips5,Text,,Blood-stained cigarette pack,علبة سجاير ملونة بالدم.,Pacote de cigarros manchado de sangue,Paquete de cigarrillos manchado de sangre,,,,,,,,,,,,,,,,
Level8Tips6,Text,,Broken lipstick on the ground,روج مكسور على الأرض,Batom quebrado no chao,Lápiz labial roto en el suelo,,,,,,,,,,,,,,,,
Level8Tips7,Text,,Photo,صورة,Foto,Foto,,,,,,,,,,,,,,,,
Level9Tips0,Text,,Open the fridge and take the meat,افتح التلاجة وخد اللحمة,Abra a geladeira e pegue a carne,Abre la nevera y toma la carne.,,,,,,,,,,,,,,,,
Level9Tips1,Text,,Use a cup of water to water the plant in the room and take the tomato,استخدم كوبا من المية لري النبات في الأوضة وخد الطماطم.,Use um copo de agua para regar a planta na sala e pegue o tomate,Usa una taza de agua para regar la planta de la habitación y toma el tomate.,,,,,,,,,,,,,,,,
Level9Tips2,Text,,Take the cloth and wipe the mushroom,خد القماش وامسح بالفطر.,Pegue o pano e limpe o cogumelo,Toma el paño y limpia el hongo.,,,,,,,,,,,,,,,,
Level9Tips3,Text,,Take the mayonnaise bottle from the top of the fridge,خد زجاجة المايونيز من فوق التلاجة.,Pegue a garrafa de maionese do topo da geladeira,Toma la botella de mayonesa de la cima de la nevera.,,,,,,,,,,,,,,,,
